latitude,longitude
-24.7927632,-65.403271
-24.7971275,-65.4309337
-24.7689034,-65.3955138
-25.4968052,-64.9767179
-24.7686321,-65.3875081
-24.7349496,-65.3997903
-24.782997,-65.4077353
-24.7729625,-65.4427361
22.1564699,-100.9855409
-24.7878861,-65.4020326
-24.7772668,-65.4091202
-24.7626465,-65.3372906
-24.7234445,-65.4859293
-24.7681904,-65.3954408
-24.7700776,-65.400758
-24.7940916,-65.4178964
-24.63333,-64.25
-24.8452121,-65.5197861
-24.8013502,-65.4184335
-31.5351074,-68.5385941
-34.4964379,-58.7489488
-24.7905718,-65.4191034
-24.7820135,-65.4195185
-24.7874932,-65.4372999
-24.7394444,-65.4966761
-24.7904781,-65.4384375
-24.7791157,-65.4073642
-24.7689959,-65.3982575
-24.8176609,-65.3914829
-25.5027655,-64.973077
-25.8919226,-65.928325
-32.8420011,-68.8337505
-24.7681545,-65.3935966
-24.7902956,-65.4101712
-24.7671515,-65.3968667
-24.7778269,-65.4354223
-28.469581,-65.7795441
-24.774157,-65.3874218
-25.4983201,-64.9678064
-24.7832876,-65.4173344
-24.7620919,-65.3912695
-34.5281205,-58.473816
-24.7861785,-65.4227682
6.3513969,-75.5671588
-24.7836701,-65.4154605
27.6648274,-81.5157535
-24.7978623,-65.4017047
-24.7988718,-65.4298605
-24.7774921,-65.4396577
-25.0755877,-65.495576
-23.1329549,-64.3287426
-24.782845,-65.412839
-24.7688669,-65.4061369
-24.7830681,-65.4088211
-24.8022745,-65.3988388
-24.792651,-65.4270309
-24.8157916,-65.4027541
-24.7380767,-65.4044731
-24.8347314,-65.4960945
-24.796798,-65.4090399
-24.9679312,-65.4868049
-45.8656149,-67.4822429
-25.3807928,-64.6472289
-24.769645,-65.4296999
-24.8296154,-65.4197035
-24.6945878,-65.4111594
-24.8100413,-65.3727692
-24.7960304,-65.4322746
-24.8360288,-65.4033682
-23.1530633,-64.3187475
-23.1294629,-64.3248552
-24.8958166,-65.4871162
-24.7966463,-65.4213307
-24.7645062,-65.3961745
38.9071923,-77.0368707
-24.7286058,-64.1888307
-26.8082848,-65.2175903
-32.5175643,-59.1041758
-24.2234484,-66.3194011
-24.79829,-65.3762703
-34.6073319,-58.3816252
-24.8481726,-65.4508645
-24.7953952,-65.3925615
-24.8134782,-65.4456111
-24.8260194,-65.4026167
-24.8130241,-65.4060914
-29.4134538,-66.8564579
-26.0643407,-65.9820336
-24.7774702,-65.4262111
-24.7272174,-64.2010612
-25.1518617,-65.4939546
-54.8019121,-68.3029511
-24.7660637,-65.3943196
-24.8035751,-65.4090645
-24.2611509,-66.3910778
-26.0470752,-64.644388
-24.8469972,-65.517861
-24.7752343,-65.4332071
-24.7708162,-65.4035123
-24.748217,-65.399088
-22.5067111,-63.8003971
-24.7153634,-65.4034556
-24.7848269,-65.4532766
-25.1206993,-64.1254237
-24.768119,-65.4044876
-24.7710796,-65.4114521
-28.4395203,-65.7885526
-33.3334669,-60.2110494
-25.6912733,-66.167807
